cat,genus,species,sex,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54
Aarf001k,Austral,afric,f,1.521409143,-0.945558569,1.181513858,-1.261653384,0.724549731,-1.45037132,0.26960776,-1.554421667,-0.211585244,-1.692975172,-0.671831532,-1.66683713,-1.015365321,-1.387214137,-1.252352288,-0.973074857,-1.528843152,-0.593047066,-1.61852825,-0.403968567,-1.598174684,-0.107342706,-1.569786837,0.226024523,-1.495704876,0.536475195,-1.257921872,0.765065187,-0.96886292,0.96145828,-0.75188001,1.151972995,-0.478017647,1.250386898,-0.173677391,1.440209045,0.198856578,1.464976513,0.596947761,1.460595986,0.837171739,1.16910807,1.127699694,1.013512635,1.376045858,0.797376403,1.551780204,0.465123527,1.714665656,0.068107211,1.724549573,-0.250231265,1.774282336,-0.571243326
Cmsf006k,Cercop,mitis,f,0.622849593,-1.079940352,0.226003209,-1.189236319,-0.19144991,-1.21208152,-0.557735204,-1.096671625,-0.877644108,-0.865981005,-1.172445929,-0.691312098,-1.360011161,-0.389438385,-1.26073255,-0.040688832,-1.067503599,0.315235467,-0.932916065,0.393232858,-0.855372742,0.549370475,-0.637692978,0.633172361,-0.466021565,0.775269064,-0.35391576,0.846159871,-0.160212076,0.881657956,0.055043992,0.868547349,0.212916816,0.854565978,0.416033546,0.821686585,0.611002595,0.689723059,0.762882377,0.557777339,0.925293592,0.382299567,1.021626991,0.200656185,1.082996018,-0.042745872,1.095720926,-0.255405249,1.041569961,-0.447612899,0.978676411,-0.606357083,0.867299534,-0.797550352
Cmsf007k,Cercop,mitis,f,0.826778844,-0.734800398,0.518150751,-0.941112004,0.206907596,-1.124731316,-0.132192674,-1.066811984,-0.478521067,-0.955537796,-0.809304025,-0.798359296,-1.131765046,-0.641476301,-1.179158596,-0.325410228,-1.060525245,0.013791853,-0.942169168,0.13849658,-0.816784653,0.321161423,-0.708432007,0.468890674,-0.577177863,0.59129301,-0.432092162,0.670190992,-0.267904667,0.750888042,-0.082552044,0.752344931,0.101643854,0.72521228,0.237618585,0.652527438,0.383281427,0.608732481,0.520761064,0.522996677,0.630577222,0.392407465,0.715617225,0.326851579,0.80631698,0.161627732,0.859512197,0.028971355,0.897784828,-0.092897669,0.951159096,-0.227751916,0.933714307,-0.410146596
Cmsf008k,Cercop,mitis,f,0.886864526,-0.742233602,0.647030256,-1.086035935,0.272660221,-1.271015922,-0.103274196,-1.222435679,-0.528404932,-1.192054488,-0.886677663,-1.028060194,-1.185450678,-0.762052661,-1.292746093,-0.361856483,-1.262871269,-0.023374148,-1.15538222,0.160495682,-1.069203456,0.359321219,-0.915313697,0.575077131,-0.719288839,0.667905636,-0.530409818,0.805642742,-0.286058375,0.841996841,-0.07528549,0.866475053,0.146397865,0.889946916,0.383532806,0.844380164,0.497074359,0.711949757,0.634863959,0.600492846,0.73697543,0.494092189,0.844750415,0.358353208,0.967582944,0.271779084,1.004505901,0.043931253,0.999942573,-0.068369817,1.011674191,-0.209647755,1.060240299,-0.361219021
Cmsf009k,Cercop,mitis,f,0.909043623,-0.895986934,0.611231628,-1.123104069,0.263302169,-1.244735016,-0.12963892,-1.284590731,-0.507836019,-1.160870468,-0.897509692,-1.05452778,-1.151038495,-0.772309313,-1.209287615,-0.412828412,-1.078644739,-0.0392503,-1.016583382,0.126045402,-0.966744366,0.295933035,-0.835271779,0.464294478,-0.7307448,0.584724338,-0.564393674,0.724865502,-0.419394843,0.823987162,-0.254503137,0.872959891,-0.070129034,0.925018447,0.08323721,0.908622138,0.314481353,0.893690392,0.55743379,0.782614894,0.717116065,0.719749459,0.884938295,0.507630402,0.976836246,0.340647184,1.068673979,0.138756555,1.151315857,-0.109302274,1.080338486,-0.34507775,1.085930377,-0.553426108
Cmsf010k,Cercop,mitis,f,0.184629508,-1.172055635,-0.164510094,-1.230158669,-0.575785697,-1.184762354,-0.932486398,-0.955957729,-1.221754894,-0.68953651,-1.415293846,-0.315867568,-1.472320113,0.090295238,-1.230556584,0.39114609,-0.893861693,0.670532032,-0.706697095,0.753072038,-0.546997325,0.84996126,-0.299766471,0.892127444,-0.079758111,0.939022291,0.145232645,0.964365056,0.334924811,0.90624227,0.535193017,0.80839653,0.649013418,0.662781267,0.731488145,0.449984919,0.776048007,0.308910934,0.837969236,0.128115794,0.852048958,-0.012602889,0.840305267,-0.157086315,0.828924647,-0.321220828,0.787185376,-0.48558435,0.7416425,-0.666225413,0.652326295,-0.813822316,0.550056946,-0.911708019
Cmsm001k,Cercop,mitis,m,0.662540387,-0.9997565,0.389242548,-1.201487859,-0.009813907,-1.237685671,-0.413458513,-1.107556217,-0.745986267,-0.949501967,-1.067851188,-0.749608276,-1.408727966,-0.538160753,-1.411899704,-0.197395055,-1.365401474,0.17016419,-1.206136344,0.376693861,-1.063750137,0.524741485,-0.812616348,0.673238825,-0.622108408,0.835300367,-0.373998117,0.873591303,-0.136855282,0.896532483,0.127832238,0.921127992,0.356835274,0.854039943,0.564048128,0.763640741,0.722290007,0.634381043,0.818525232,0.494401498,0.88866171,0.337281942,1.004125089,0.203210332,1.026206673,0.021040074,1.060579559,-0.14828093,1.058937372,-0.305218222,0.977064736,-0.419806164,0.936738435,-0.620365844
Cmsm002k,Cercop,mitis,m,0.65859905,-0.944427589,0.29811024,-1.160593812,-0.128489973,-1.20968345,-0.49439811,-1.076716149,-0.819515882,-0.890476998,-1.200979578,-0.798177816,-1.383651031,-0.533832665,-1.262754712,-0.129892648,-1.168975581,0.247850122,-1.112243644,0.409115294,-0.91791157,0.567131238,-0.719172592,0.70293537,-0.555013229,0.765872538,-0.295292287,0.903689988,-0.110152471,0.943175666,0.099198813,0.870755928,0.326087712,0.86330614,0.49459746,0.755238977,0.692598527,0.654804247,0.783899593,0.489371893,0.931575235,0.36081652,0.988421311,0.178929906,0.986971614,-0.055915247,1.035145999,-0.21580613,1.055091858,-0.417249934,0.997253466,-0.577475937,0.857879308,-0.698712375
Cmsm003k,Cercop,mitis,m,1.179253727,-0.691367348,0.914741585,-1.059620841,0.59948309,-1.210173211,0.152415854,-1.238323805,-0.286225366,-1.217681646,-0.640865448,-1.223150841,-0.966939607,-1.027346363,-1.173964065,-0.641599724,-1.24132847,-0.289214818,-1.109708312,-0.10233919,-1.059606388,0.051541394,-0.962579044,0.277258796,-0.895384197,0.441993792,-0.756081592,0.609656425,-0.614368809,0.732029874,-0.4729635,0.829561082,-0.262601065,0.895647231,-0.12986934,0.996545769,0.132786764,0.952867971,0.360579232,0.890998224,0.597824514,0.805341936,0.801411282,0.659627081,0.958114337,0.505605872,1.113850561,0.298688425,1.244415361,0.097025067,1.256903063,-0.102589163,1.30711988,-0.310188055
Cmsm004k,Cercop,mitis,m,0.865264499,-0.879466558,0.547157247,-1.097025411,0.119579811,-1.247739953,-0.289137389,-1.224573274,-0.655056095,-1.060249644,-1.063476287,-0.95064101,-1.318643994,-0.668245238,-1.30492322,-0.276554854,-1.238573214,0.08807018,-1.104030049,0.299585696,-0.918843707,0.454838208,-0.802365024,0.582630014,-0.638262251,0.695135535,-0.484597598,0.767606694,-0.234756302,0.832410547,-0.043748409,0.815386824,0.156678883,0.826471205,0.350472174,0.808524825,0.469832712,0.696483599,0.619746669,0.62556214,0.786379249,0.493648825,0.931600245,0.336444829,0.978260473,0.209330829,1.040252881,-0.006275374,1.076198046,-0.168187503,1.032020441,-0.386303618,1.01405093,-0.560677771
