cat,PhyloSpp,Fam,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94,var95,var96,var97,var98,var99,var100,var101,var102,var103,var104,var105,var106,var107,var108,var109,var110,var111,var112,var113,var114,var115,var116,var117,var118,var119,var120,var121,var122,var123,var124,var125,var126,var127,var128,var129,var130,var131,var132,var133,var134,var135,var136,var137,var138,var139,var140,var141,var142,var143,var144,var145,var146,var147,var148,var149,var150,var151,var152,var153,var154,var155,var156,var157,var158,var159,var160,var161,var162,var163,var164,var165,var166,var167,var168,var169,var170,var171,var172,var173,var174,var175,var176,var177,var178,var179,var180,var181,var182,var183,var184,var185,var186,var187,var188,var189,var190,var191,var192,var193,var194,var195
Cmsf007k,Cercopithecus_mitis,Cercopethicidae,3.069235046,3.633280406,-0.585295837,2.505568765,-0.161378667,-0.050290645,1.033358648,-2.012252006,-0.100865744,0.196914002,-2.409900735,-0.41144646,0.35917799,-1.94894141,-1.725823826,-0.259133036,-1.887983142,-1.638792269,-1.243276679,-1.338517867,-2.524569622,-1.143202773,-1.208393811,-2.712864704,-1.924134552,-1.039140011,-1.628661248,-1.382207527,-1.851532059,-0.851831261,0.286178314,0.455265237,-0.771707212,-1.236377217,-1.975959683,-0.866091072,-0.407837299,-2.298648408,-0.789717068,-1.659326495,-1.946425915,-0.619923468,-0.141409725,-2.248764113,0.452051056,-0.911186464,-2.315362584,0.615682507,0.455390161,1.855501257,-3.888480611,-1.949124015,-0.512671528,-2.666687735,-2.308781021,-0.7598234,-2.294733728,-2.374103742,-0.930804982,-1.932990973,-2.900742876,-1.646623803,-0.98780043,-2.82041328,-2.11572565,-0.313051522,-3.337524032,-1.545784598,-0.315192445,-3.0696373,-1.943113412,0.468963906,-2.751634779,-1.74877921,0.48442918,-2.827871998,-1.578319221,0.50414338,-3.329195295,-2.206469243,0.314232989,-3.546865739,-2.422125188,0.592879051,-3.054422753,-2.785118101,0.620709656,-2.590461914,-2.826834423,0.692722665,-3.814495463,-1.858696937,0.84433742,-3.776200192,-1.470946829,0.84485593,-0.447940493,3.289234762,0.617989672,-2.662191682,2.0053859,0.772219363,-3.082847054,1.33877194,0.237857571,-2.866823987,1.797932623,-1.129322367,-3.05720746,1.227668053,-1.041255603,-2.696659717,0.481107353,-2.131913938,-2.718032781,0.576873717,-2.384798953,-2.242614141,-0.637889766,-1.543227584,-2.986377224,0.026299619,-0.463246503,-0.09405966,1.307404422,-0.462851512,-3.039097065,0.172979254,-0.474696885,-3.168578716,1.007978045,-0.183444651,-3.00238878,-0.207877768,-0.021712701,-2.944947962,0.924289579,0.956329133,-2.894931511,0.189085582,1.030192618,2.263235126,2.49214532,0.494761093,0.964386988,1.507753642,1.014979047,2.313979686,-0.309845699,0.443186208,-0.792389305,2.945552013,1.186018913,-0.508915187,0.42896798,0.131720624,-1.233101367,-0.380826482,0.482078715,-1.673688082,-0.734637518,0.411094905,-2.750879393,-1.663906513,0.493643661,-2.466878637,-2.479700315,0.828995118,-1.921576334,-2.632702617,0.846255103,-1.272326256,-2.319255867,0.953748924,-0.095106204,-0.837262516,0.660171844,1.685749036,-1.680197221,0.288659942,-3.355009367,-1.383185292,1.073239897,-3.466295102,-0.846172463,1.116720392,-3.033900959,-0.252391943,1.343513072,-1.463350362,0.800204896,1.008798474,-2.120859685,2.649261588,1.127043068
Cmsm001k,Cercopithecus_mitis,Cercopethicidae,4.400819298,3.423041653,-1.002714337,3.540891536,-0.777093961,0.602047395,0.92774385,-2.844503922,0.536984802,-0.130384901,-2.905014856,0.031687712,0.392832045,-2.633268094,-1.387533755,-0.193066608,-2.373868186,-1.523182021,-0.924693477,-1.596256351,-2.604266436,-0.905607412,-1.53765109,-2.961192401,-2.048264614,-0.88725813,-1.575306785,-1.49412976,-1.957155385,-0.475184721,0.56703992,0.50327868,-0.624615056,-1.373995895,-2.011027843,-0.560240506,-0.916307226,-2.448930943,-0.199885343,-1.54526963,-2.090312514,-0.133650756,-0.697460726,-2.501115917,0.813490192,-1.383219581,-2.37276116,1.253996896,1.910386158,1.781110904,-3.574167625,-1.493520667,-0.273739274,-2.92706236,-2.31548353,-0.616049092,-2.525139964,-2.408632494,-0.682363889,-2.284171535,-3.524581326,-1.552500748,-1.142191913,-3.534814848,-2.235048084,-0.296327948,-4.1313773,-1.280570165,-0.402820664,-4.332300581,-2.088303614,0.664655617,-3.71113962,-1.775088888,0.757287409,-3.992229487,-1.542749783,0.747097481,-4.719416508,-2.401001908,0.485255819,-5.013955518,-2.518291856,1.100650509,-4.491494398,-3.014809085,0.902083647,-3.765979824,-3.010872956,0.908602743,-5.282370713,-1.837124555,0.79888775,-4.876050062,-1.166819873,0.75089724,0.48208885,4.427540766,0.668036855,-2.740008709,3.191256447,0.507830003,-3.243636933,2.219717611,0.065170526,-2.730130892,2.59368998,-1.562167329,-2.833911382,1.898998116,-1.406490352,-2.545072132,1.049871073,-2.582041749,-2.471498084,1.15552672,-2.929228521,-2.361322545,-0.378483871,-1.643414573,-3.048326042,0.835991165,-0.496744752,0.116517077,1.227662848,-0.738462573,-2.999683169,0.637008008,-0.520724168,-3.23175594,1.408777028,-0.316614024,-3.105760163,0.561587228,-0.053079448,-3.235132576,1.63242831,0.796067681,-3.461206388,0.742075719,1.116881569,3.610674528,2.828320433,0.400470372,1.776444536,1.731713847,1.454448652,2.871408424,-0.621442394,1.433780723,0.200637139,3.877967496,1.349111211,-0.290284076,0.465374199,0.315973512,-1.488462224,-0.237297134,0.852881746,-2.130835425,-0.612948294,0.788310966,-3.85435437,-1.730566192,0.747591707,-3.657525685,-2.637537109,1.308336884,-2.975587157,-2.838956933,1.304485796,-2.209764605,-2.38877525,1.635527789,-0.493857995,-1.278083585,1.631327965,1.730355667,-2.549348548,1.048769285,-4.635987025,-1.156107661,1.283250324,-4.412235141,-0.532859856,1.296015603,-3.795919141,0.098883926,1.636000919,-2.056691463,1.058984687,1.542530716,-2.138178364,3.492646079,1.013909282
Cmsm005k,Cercopithecus_mitis,Cercopethicidae,3.749424118,3.558456093,-1.357636441,3.403862636,-0.272989734,-0.213650172,0.828600842,-2.608946796,-0.066832615,0.190450426,-2.659615662,-0.199611234,0.483241491,-2.342957967,-1.674789829,-0.131377029,-2.260594965,-1.683131846,-0.722745716,-1.37484681,-2.734007205,-0.67203993,-1.2806941,-3.053835532,-1.994426742,-1.060569245,-2.01800452,-1.59737814,-1.896234542,-0.883291179,0.466931866,0.570061845,-0.797958606,-1.582587091,-2.059132652,-0.810013551,-0.506705356,-2.482317084,-0.662847741,-1.479542401,-2.352989216,-0.161339863,-0.356906354,-2.324600778,0.503809055,-1.012418242,-2.346763494,0.904725508,1.143596638,1.724319139,-3.94190182,-1.335373149,-0.135600674,-3.213884806,-2.282065909,-0.868137423,-2.420623311,-2.354128519,-0.989762267,-2.216948427,-3.451601694,-1.896637455,-1.002992,-3.454084388,-2.426343702,0.074878932,-4.09766568,-1.700917385,0.167805259,-3.925532667,-2.160255028,0.889721591,-3.355885341,-1.930519172,0.880017878,-3.686266534,-1.656429873,0.906470399,-4.133455392,-2.395799617,0.831851462,-4.462084272,-2.567666981,1.379995173,-3.985768496,-3.029303355,1.346926888,-3.360466509,-3.049913807,1.239820796,-4.703107796,-2.008490207,1.348701084,-4.614942373,-1.426125116,1.307750478,0.222430584,4.299254058,0.241928342,-2.974166768,2.628055714,0.026535948,-3.288010711,1.848863212,-0.107133054,-2.833846542,2.301666587,-1.52022885,-3.026681609,1.771825151,-1.667638983,-2.465025273,0.870582569,-2.653201675,-2.305858743,0.95463619,-3.009157427,-2.405736641,-0.649733466,-1.986797802,-3.183231132,0.145651947,-0.767519433,-0.166423213,1.44678553,-0.769965832,-3.062735736,0.032216399,-0.751064842,-3.327747815,1.244980987,-0.554258636,-3.257309992,-0.183382604,-0.366090662,-3.043379861,1.393546941,0.624892575,-3.282999995,0.543415169,1.065320356,2.833580779,2.930424284,0.406358651,1.962973204,2.144161478,1.006108308,2.717779399,-0.141550769,0.792108915,-0.205208768,3.666842786,0.855611798,-0.173175019,0.746881788,0.115208431,-1.473078144,-0.335182478,0.667021667,-2.070570308,-0.803982246,0.601030202,-3.588139286,-1.832845839,0.964158096,-3.152169718,-2.729116789,1.546524187,-2.609048561,-2.83672615,1.647505504,-1.830017391,-2.458535039,1.687990831,-0.468349182,-1.168874611,1.39645066,1.939379648,-1.946770105,0.395636973,-4.368863643,-1.292957271,1.59082178,-4.212077406,-0.580330594,1.629838019,-3.622189348,-0.059696651,1.727783218,-2.048715949,0.897001981,1.423781706,-2.200358466,3.355275267,0.548264521
Cmsm003k,Cercopithecus_mitis,Cercopethicidae,4.140145772,3.230001278,-1.529179462,3.448539109,-0.558341678,-0.410333672,0.727721673,-3.147883187,0.303931017,-0.052724656,-3.202504728,0.087926053,-0.314672785,-2.959976713,-1.59822816,-0.390715133,-2.94238983,-1.684423904,-1.054954837,-2.202462549,-2.624921938,-0.925555042,-2.122347279,-2.984365874,-2.426418689,-1.509552225,-1.822689267,-1.731253562,-2.53784853,-0.628066328,0.410383078,0.127119698,-0.752225734,-1.825044876,-2.44282336,-0.529661035,-0.915653204,-3.089607229,-0.353975544,-2.085950387,-2.528577683,0.205860905,-0.40879232,-2.684264642,1.131993674,-1.317567749,-2.536546779,1.284332875,0.685661529,1.040744381,-4.740228889,-1.895076723,-1.032222523,-3.189446126,-2.607346448,-1.376778073,-2.492123451,-2.623011886,-1.394187572,-2.482963083,-3.652211502,-2.008340084,-0.673738897,-3.446058305,-2.359839716,0.322325312,-4.000462274,-1.689235441,0.190456198,-3.887337123,-2.205065485,1.361609065,-3.406934858,-1.982866438,1.303597116,-3.563694077,-1.784088767,1.214423783,-4.242893677,-2.415091938,1.235433669,-4.525062933,-2.607459735,1.553387127,-3.968050609,-3.045959203,1.689421879,-3.423810588,-2.997614076,1.516509716,-4.72074618,-1.924210634,1.687281266,-4.630281882,-1.369887568,1.508859569,0.47114983,4.239219532,-0.530472671,-2.90797067,2.717241692,0.136415521,-3.405098574,1.812199836,-0.218521251,-3.133154386,1.847976865,-1.654400579,-3.23925562,1.417252468,-1.804151802,-2.760691545,0.362383839,-2.735413229,-2.639083357,0.430641095,-3.079985428,-2.726998263,-1.176651571,-1.749859875,-3.40351379,0.01710596,-0.620043389,-0.290074827,0.99558367,-0.98054951,-3.38849599,-0.195812012,-0.662383423,-3.581922314,0.972795687,-0.409350103,-3.479828925,-0.072297121,0.295019694,-3.385350133,1.221655811,0.755937577,-3.194538874,0.561201976,1.259474714,3.020254827,2.636650466,-0.029588378,1.867767481,1.912205107,0.505923113,2.838345966,-0.638512291,0.521943347,0.011695682,3.732652548,0.341447794,-0.141365482,0.467980429,0.015617714,-1.296084375,-0.279396992,0.776086298,-2.035717759,-0.883270779,0.803644222,-3.395670325,-1.865548064,1.252578889,-3.13864445,-2.55482028,1.694038912,-2.48201907,-2.798030123,1.676310981,-1.481859261,-2.446268636,1.912664,-0.174880352,-1.172141743,1.327712901,1.941119449,-2.43028948,0.64402843,-4.145966587,-1.264175413,1.712529419,-4.094472457,-0.485834957,1.643519002,-3.406107202,0.156956827,1.755313969,-1.776062481,1.012734727,1.234940172,-2.112320609,3.396976202,0.377789935
Cmsf008k,Cercopithecus_mitis,Cercopethicidae,3.013863507,3.608527782,-1.520158825,2.677515242,0.015505379,-0.080484964,1.046355983,-1.967119525,0.192667615,0.175291791,-2.323390513,-0.032272558,0.426411292,-2.24971274,-1.60521902,-0.162479425,-2.203646225,-1.539291068,-1.103306335,-1.691700049,-2.763883093,-1.004233799,-1.618142926,-2.912682473,-2.09289824,-1.193483252,-1.807487387,-1.274849084,-1.870927656,-0.672290861,0.301870496,0.224383671,-0.924530756,-1.103047274,-2.013254232,-0.630810099,-0.328431705,-2.428702236,-0.668957161,-1.2584326,-1.923295866,-0.087145968,-0.208804761,-2.172392231,0.574113934,-0.849497102,-2.069594767,0.804976924,1.011741674,1.767130999,-3.947630757,-1.764130102,-0.771492099,-2.950757251,-2.280939937,-1.089985617,-2.656975616,-2.445758161,-1.20815109,-2.271306812,-3.119207749,-1.885007624,-1.020127619,-2.912426182,-2.308696913,-0.16327668,-3.515099814,-1.654604403,-0.145215125,-3.171853223,-2.031770006,0.673892487,-2.868198425,-1.956003228,0.617098516,-3.066491175,-1.64676619,0.610706665,-3.550956472,-2.312203958,0.613993379,-3.716430428,-2.495993425,0.926826027,-3.226005598,-2.817715518,0.910651825,-2.714983076,-2.738260792,0.918403301,-3.932543247,-2.04180687,0.872535179,-3.868314515,-1.47599355,1.020976437,-0.346052224,3.581368629,0.120034774,-2.670723224,2.145410323,0.33815223,-3.154236585,1.400449745,-0.029414027,-2.909790722,1.681432657,-1.500296042,-3.084417551,1.142423392,-1.403471444,-2.653548647,0.350813045,-2.650493615,-2.64933205,0.380166883,-2.884154853,-2.266292904,-0.853186137,-1.785283303,-3.005542061,0.136067471,-0.607236108,-0.293970663,1.121754812,-0.618655851,-3.041285546,0.196987016,-0.542175772,-3.22344838,0.94416003,-0.503869849,-2.859664452,-0.099653133,-0.062971847,-3.015618563,1.026532671,0.66542201,-2.993138612,0.222657024,0.917723926,2.083109291,2.730547901,0.494792422,1.044441774,1.634246441,0.726844761,2.363746638,-0.080203023,0.532380002,-0.524680241,3.281508127,0.768849071,-0.47179411,0.415401379,-0.176131947,-1.395252886,-0.365541404,0.361988015,-1.819381126,-0.737142881,0.315266526,-3.020237097,-1.7494921,0.625647542,-2.558722202,-2.371786747,1.026968212,-2.060662034,-2.548460584,1.194145705,-1.510589467,-2.206186581,1.147025867,-0.275822603,-0.858910024,0.944126958,1.597752167,-1.614584972,0.545715706,-3.475314076,-1.281367538,1.106953584,-3.583666893,-0.902895746,1.273859878,-3.21989999,-0.352758147,1.262746146,-1.739489383,0.694972176,1.008464322,-2.263336843,2.708759187,0.699203637
Cmsf010k,Cercopithecus_mitis,Cercopethicidae,3.51339645,4.270305023,0.343496413,3.120938765,-0.042136824,0.36749412,1.06568386,-2.469666697,-0.289405724,0.139528178,-2.705749395,-0.643891574,0.507161856,-2.059614582,-2.009704451,-0.245916353,-2.078805938,-2.040861623,-0.610625776,-0.897547049,-2.884484163,-0.533780713,-0.793244788,-3.267705617,-1.893870897,-0.799849563,-2.235173485,-1.577719388,-1.86426611,-1.150389791,0.069952727,0.405758204,-0.430136623,-1.337456617,-2.225190487,-1.243341111,-0.352278344,-2.5635227,-1.091739241,-2.065504434,-1.740018259,-1.091875448,-0.461419055,-2.681980941,0.04022192,-1.24561852,-2.611604598,0.377070444,1.473118273,2.735600144,-3.299797625,-1.254834266,0.238777654,-3.238781936,-2.016215689,-0.421386733,-3.01228656,-2.27710196,-0.680595399,-2.601862553,-3.084918026,-1.688587713,-1.693104312,-3.184577989,-2.513505812,-0.854584374,-3.742596445,-1.651347028,-0.779228963,-3.729227966,-2.444212389,-0.059156407,-3.288681651,-2.365133152,0.025819005,-3.535121789,-2.060319655,-0.00678094,-4.034271231,-2.675856674,-0.325861176,-4.284710972,-3.07105977,-0.115164967,-3.692948931,-3.34813424,-0.034672372,-3.260463243,-3.367245424,-0.004784584,-4.612343285,-2.351349517,0.061030606,-4.497239877,-1.854886942,0.280384802,-0.374337843,3.842528564,1.035878497,-3.002882808,2.33740161,0.453643448,-3.491082161,1.544920825,0.088637077,-3.075798757,2.004196772,-1.218672972,-3.18161964,1.458019257,-1.568238871,-2.368915485,1.218608272,-2.535000834,-2.330452247,1.245749628,-2.875575253,-2.348088157,-0.430126501,-2.191353938,-3.149100377,-0.193023533,-0.86318944,-0.594347573,1.293124381,-0.354588844,-3.34241576,0.050694273,-0.833993035,-3.564210693,1.264722397,-0.580917153,-2.917444823,-0.605067675,-0.897186928,-3.361362663,0.975669521,0.633606888,-3.586780262,-0.202574487,0.948527612,2.412571016,2.86695801,1.567690695,1.310018731,1.766828978,1.669490259,2.683871934,-0.454209179,0.994480911,-0.819851594,3.528391896,1.723591921,-0.392274921,0.576073368,0.340147877,-1.634099674,-0.684150055,0.417817482,-2.193544414,-1.199888027,0.172777104,-3.444960083,-2.193270956,0.043947765,-3.07171117,-2.964871052,0.387141499,-2.640477828,-3.282584926,0.474753206,-1.791514689,-2.84134876,0.660388218,-0.493837388,-1.547916867,1.093699204,1.831112914,-2.092780569,0.390008046,-4.042983205,-1.829805285,0.523351123,-4.223970348,-1.28843681,0.737971743,-3.739407402,-0.651537909,1.176120965,-2.281302175,0.390017924,1.518021319,-2.657925867,3.012256972,1.133710111
Cmsm004k,Cercopithecus_mitis,Cercopethicidae,3.634447571,4.31009889,-1.506900349,3.749534163,0.413145456,-0.230817698,1.632964055,-2.876873811,-0.321006793,0.425122431,-3.248674989,-0.668775262,0.492351124,-2.707253538,-2.709545926,-0.199826904,-2.741386057,-2.278377085,-0.936803502,-1.810892917,-3.392680088,-0.832282338,-1.670323336,-3.754158623,-2.116072253,-1.475957544,-2.633230608,-1.665164008,-2.48587808,-1.500417795,0.221580765,0.207449227,-1.181302328,-1.524174615,-2.609555819,-1.457158932,-0.292582853,-3.036494717,-1.006988929,-1.900596903,-2.690002839,-1.191256633,-0.138705347,-3.163065706,0.142921206,-1.229717064,-3.096072359,0.626017135,0.997603324,1.968163321,-4.395601727,-1.604496855,-0.641301433,-3.965246823,-2.307417618,-1.109304331,-3.719933762,-2.555040348,-1.447989859,-3.175567184,-3.647670975,-2.43077699,-1.851136874,-3.79623955,-3.340707336,-0.74231747,-4.539420943,-2.388483489,-0.782815703,-4.398092906,-3.149160237,0.095434527,-3.792527994,-3.02230379,0.164833886,-4.239971946,-2.679476393,0.149559955,-4.687094919,-3.504217534,-0.134381358,-5.099004045,-3.866759087,0.330866795,-4.634004322,-4.373746613,0.443782006,-3.895249955,-4.259169423,0.389460765,-5.553025355,-3.354440949,0.390906484,-5.496538217,-2.557046955,0.420393291,-0.290155086,4.652829279,-0.192882862,-3.68833752,2.845128576,-0.396080343,-4.143611016,1.584414111,-0.69631609,-3.813810501,1.793021082,-2.59046492,-3.642636838,1.043032381,-2.452685282,-2.866491981,0.505746135,-3.318144714,-2.830783974,0.590295706,-3.769219805,-2.551101031,-0.874094284,-2.561199121,-3.671428635,-0.332538805,-1.492553026,-0.472902652,1.140983101,-0.90007588,-3.704996628,-0.3101078,-1.393000426,-4.0149354,0.983445789,-1.140070233,-3.836294229,-0.750297002,-0.997824485,-4.147011856,0.950165845,0.17364229,-3.986145439,-0.062001363,0.897912381,2.695218985,3.472793799,0.625965255,1.544425615,2.429874646,1.04475525,3.284258391,-0.120548623,0.945392393,-0.97529243,4.108296139,1.005757989,-0.365858423,0.534873272,-0.145468995,-1.868501169,-0.824653672,0.212665498,-2.478825655,-1.355068684,0.144508207,-3.969794792,-2.771346563,0.124991757,-3.603456031,-3.926860667,0.863422422,-3.006255222,-3.874374935,1.038869474,-2.002140853,-3.342950914,1.228888811,-0.664829857,-1.792404358,1.339079319,2.462070748,-2.243029514,0.354609124,-5.146765723,-2.346402513,0.928651227,-5.039674629,-1.662733695,1.032190125,-4.435860878,-0.967434776,1.320893551,-2.849487061,0.465175471,1.311474848,-2.977777086,3.486046388,0.215925493
Cmsf009k,Cercopithecus_mitis,Cercopethicidae,4.275733743,3.20513876,-0.066590583,3.248511232,-0.648859087,0.230415085,0.981600531,-2.662310367,-0.045197088,0.009784446,-2.797517175,-0.311512617,0.460979807,-2.328579454,-2.157140608,-0.194925312,-2.557618978,-1.961714216,-0.810789087,-1.51977811,-3.09586896,-0.510059805,-1.450328869,-3.366265349,-1.916581897,-1.170967319,-2.383237828,-1.643918455,-2.217159585,-1.135799379,0.505275878,0.298188676,-0.631568666,-1.690334001,-1.996423823,-1.209794902,-0.602056595,-2.637935541,-0.723802229,-2.007648078,-1.963950786,-0.881905626,-0.658526085,-2.526911817,0.350532421,-1.396946219,-2.43890141,0.585778812,1.703833963,1.33458005,-3.681006243,-1.298911729,-0.349412591,-3.461825665,-1.907763754,-0.713169724,-3.249918685,-2.192648913,-0.980361653,-2.822002916,-3.397845671,-1.691850685,-1.709264228,-3.330671754,-2.084673911,-0.888399477,-3.777853174,-1.328438924,-0.850518336,-3.990919348,-2.069855994,0.139488291,-3.488528108,-1.899966661,0.256338829,-3.640670629,-1.658383359,0.215930016,-4.338412919,-2.259421095,-0.053375127,-4.624518161,-2.486264147,0.671004187,-4.180204628,-2.867500927,0.680503723,-3.605429791,-2.89890546,0.501547416,-4.840394337,-1.855559784,0.646246112,-4.580069248,-1.286093058,0.710159279,0.324046804,3.758851694,0.309553284,-2.543144591,2.474462986,-0.046806552,-2.988213939,1.812967867,-0.289628127,-2.348477926,2.058044482,-1.892360276,-2.775976673,1.490646381,-1.902419016,-2.185356159,0.764563752,-3.084207499,-2.091233288,0.85193898,-3.344513223,-2.243163821,-0.584177138,-2.302257525,-3.112274171,0.17596318,-1.101314256,-0.152654576,0.86706875,-0.69132353,-2.941181186,-0.12647431,-1.199797678,-3.072363941,1.196320027,-0.772000204,-3.122799862,-0.343642663,-0.87790933,-3.062525159,1.082667091,0.358850689,-3.317697947,0.355226589,0.522148126,2.894197108,2.449854507,1.241415715,1.622872423,1.564838285,1.406902942,2.386372209,-0.830837862,1.138326564,-0.210108465,3.243367231,1.074972095,-0.350830277,0.187349262,-0.045302114,-1.541345922,-0.586389641,0.352170156,-2.172629753,-0.926518636,0.241725319,-3.622590782,-1.843422777,0.329851264,-3.428222186,-2.746617512,0.872359155,-2.952963127,-2.87559912,1.001898456,-2.054522125,-2.632438957,1.11969537,-0.580890321,-1.392730238,1.072558411,1.733382644,-2.438817206,0.516869588,-4.333371911,-1.27001341,0.826690946,-4.294312038,-0.705489106,1.005217774,-3.607769859,-0.130438248,1.161991068,-1.860107191,0.668657535,1.149120573,-1.965985352,3.16586975,0.532698152
Gbbf005k,Gorilla_beringei,Hominidae,9.507610154,10.72272541,-1.453147282,9.011189662,1.700586373,0.461760732,4.703241557,-4.312972566,0.040720437,4.186944865,-4.684313593,0.164281451,3.836380248,-3.217630734,-3.426071218,2.590192509,-3.204489625,-2.763699834,1.569273293,-1.789754372,-3.684911561,1.468710844,-1.525893992,-5.052365634,0.009282196,-0.697202465,-0.962187525,1.096223691,-3.290822683,-0.352867584,3.504639753,2.64859788,-0.239498942,-0.027387444,-2.432538994,-0.424932127,2.648877887,-4.950865481,0.099117864,-0.077818673,-4.013075508,1.394309137,2.288014814,-4.8679977,2.188082863,0.614565357,-3.905562622,4.058290815,4.03796153,5.146961757,-5.801849725,0.313662546,0.958648721,-4.009674754,-0.907753524,-0.163752144,-4.264732815,-0.88833413,-0.425019775,-3.195295285,-3.073565106,-2.949959751,0.381490842,-2.194025572,-4.327584604,1.518001889,-4.391674855,-2.571848098,1.678364976,-3.138481599,-3.487418099,2.661330512,-2.548942517,-3.595437212,3.435021662,-3.560032073,-3.001643941,3.26633453,-3.49537627,-3.763559457,2.075879218,-5.625465628,-6.540352874,4.1197475,-4.529115483,-7.152065187,4.082349685,-3.039661631,-6.785768898,4.12801437,-6.626367219,-5.774165282,4.274290971,-6.660521077,-4.310874299,4.236239217,1.030376493,9.622413742,1.782954613,-4.864096754,4.862030994,0.91976683,-5.393635893,3.693974051,0.373457894,-4.175839204,4.333067933,-2.930273419,-4.322111757,3.200538455,-2.377736615,-2.61146423,2.158211499,-3.494086661,-2.487241929,2.41094958,-4.698454302,-1.291149245,0.73986931,-1.351505404,-3.996900257,1.321636186,-0.028168353,1.088527438,4.194950722,-0.264397357,-2.894883163,0.512900223,-0.108290112,-5.417017235,2.668460394,0.785445183,-4.433829145,-0.211985974,1.677400453,-5.522412776,1.948620282,2.743786897,-4.168302151,0.527004722,4.702598147,7.061104942,8.512685531,2.538362405,5.382377285,6.563298629,2.715398148,7.902262952,0.975237419,2.418220934,-0.071251704,8.946801195,3.246940496,2.828847663,3.600397011,2.884215805,0.896089408,1.296452393,4.760220495,-0.864958483,-0.757682671,4.783811561,-3.472248481,-4.235056532,3.81843907,-2.839525305,-6.354752467,4.573712423,-1.835004887,-6.656371282,4.890324041,-0.489446627,-4.804198293,5.689962215,2.263907705,-1.752655835,6.570987878,6.681208246,-2.847985802,1.335580718,-5.564732234,-3.797147821,4.550985144,-6.117690158,-3.061340362,4.958321429,-5.040984863,-1.366401744,5.71843183,-1.885050394,2.027311916,6.189313495,-3.657965965,6.80493692,2.079347954
Gbbm009k,Gorilla_beringei,Hominidae,10.75831716,11.82791085,-1.282691669,11.72875135,2.381266205,-0.619311735,6.510878635,-5.01305556,-1.268806521,4.713871799,-6.212087502,-1.305778643,5.482138896,-3.386410149,-5.129989437,4.024564835,-3.415159788,-4.841809293,2.318756242,-1.531316267,-5.763483535,2.818912543,-1.185108193,-7.030813317,1.387804212,-0.842420844,-3.14289392,1.892972355,-4.000086762,-2.367851278,4.892214518,2.325929626,-1.646920714,0.587923341,-2.754377272,-2.368976864,3.781337574,-5.521784982,-2.427754682,0.029345895,-4.767445226,-0.822568185,2.984445349,-6.241191063,0.760300094,0.012157944,-5.032254645,2.386462132,5.677930759,6.018886447,-8.15608082,1.782897851,1.676068701,-6.110701196,0.222571467,0.003320903,-6.076449411,0.082748296,-0.047390377,-6.096096867,-2.818754455,-3.068853078,-1.776475327,-2.794853787,-5.442250219,-0.467394739,-5.242846158,-2.743973371,-0.496783102,-4.267424599,-4.181756809,1.01510944,-3.790415014,-4.796030815,1.759822799,-4.642822845,-3.49593167,2.207722789,-4.756405509,-4.685499053,0.328849801,-7.202089954,-7.912306382,1.573646741,-5.913836065,-8.790994245,1.704185139,-4.45768518,-8.737858746,2.158099711,-8.234774288,-6.832030069,1.894270207,-8.388216829,-4.802109792,2.122195461,1.603173309,11.70617682,-0.18737722,-5.305944125,6.009417311,-1.159877657,-5.894573743,4.189279891,-1.329565071,-3.624950674,4.842026098,-5.073669131,-3.248174401,3.611502644,-4.804418895,-1.711498681,2.365887827,-5.662935024,-1.379329605,2.930304915,-6.767677571,-0.742926059,0.861958277,-2.969416799,-3.294701519,0.822833609,-2.277585857,2.391622642,4.718526592,-1.529782423,-2.921086582,0.465136179,-2.271014501,-5.621058997,3.010314828,-2.120989618,-4.700835597,-0.206426805,-0.104224963,-5.99148852,2.687073217,0.998358491,-4.850086105,-0.303311105,2.657472563,9.76989747,9.998327106,1.726246124,7.612803695,7.803916644,1.976115589,10.75231546,1.519061252,1.849134043,1.356626381,10.56851082,1.748196836,4.124431524,4.094299881,1.488079124,1.257194951,1.110375968,3.412356494,-0.174763867,-0.723930567,3.275990363,-4.655485779,-5.130993198,1.920804066,-4.391546673,-7.529773785,2.705836598,-2.77664481,-7.814729086,3.333852535,-1.196770909,-6.17220379,4.255364843,2.11447786,-2.786055008,5.221014706,8.735381117,-2.673150816,0.278119488,-7.16304376,-4.549021827,2.694532988,-7.672054816,-2.973750947,3.176212578,-5.80526575,-1.272512678,4.310004715,-2.485704956,1.934672125,5.231695164,-3.167166817,8.505377362,0.008251899
