cat,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94,var95,var96,var97,var98,var99,var100,var101,var102,var103,var104,var105,var106,var107,var108,var109,var110,var111,var112,var113,var114,var115,var116,var117,var118,var119,var120,var121,var122,var123,var124,var125,var126,var127,var128,var129,var130,var131,var132,var133,var134,var135,var136,var137,var138,var139,var140,var141,var142,var143,var144,var145,var146,var147,var148,var149,var150,var151,var152,var153,var154,var155,var156,var157,var158,var159,var160,var161,var162,var163,var164,var165,var166,var167,var168,var169,var170,var171,var172,var173,var174,var175,var176,var177,var178,var179,var180,var181,var182,var183,var184,var185,var186,var187,var188,var189,var190,var191,var192,var193,var194,var195
Cmsf007k,3.477960523,3.36456493,-0.379207375,2.570283023,-0.452685053,0.270349657,0.952851146,-2.314495586,0.248608878,0.061991984,-2.610252213,-0.161902141,0.429021447,-2.213585557,-1.512291626,-0.20166623,-2.159746365,-1.454452951,-1.103703435,-1.558695882,-2.492472571,-1.023303575,-1.430199677,-2.700343128,-1.887294416,-1.043377902,-1.621098069,-1.457606389,-1.947876326,-0.742237355,0.424816862,0.310908515,-0.673323189,-1.317111736,-2.081807726,-0.753312846,-0.475887181,-2.470680518,-0.637327844,-1.784641024,-1.980897697,-0.489757183,-0.27837426,-2.377974557,0.626201078,-1.158055381,-2.338697584,0.764849816,0.976642942,1.579564978,-3.902649197,-1.821559327,-0.670195389,-2.755002726,-2.180179621,-0.851402726,-2.379461544,-2.365488992,-0.964516305,-1.984128049,-3.016276633,-1.642685021,-1.064349549,-2.981306796,-2.145286697,-0.330598276,-3.473858489,-1.471835319,-0.383822163,-3.28383178,-1.873526966,0.410229005,-2.917520173,-1.741851685,0.454325867,-3.063552572,-1.50249802,0.46806768,-3.618044973,-2.159541264,0.252403259,-3.844169579,-2.297267044,0.561388946,-3.375819885,-2.708085716,0.626406179,-2.87691004,-2.762335112,0.695627997,-4.10013648,-1.753337379,0.683526998,-4.00384124,-1.270425466,0.728444267,-0.285757921,3.338722118,0.550210904,-2.596433487,2.199587367,0.537084396,-3.06088625,1.52982782,0.022484272,-2.712315938,1.874296097,-1.364515863,-2.939978807,1.278783359,-1.256324725,-2.530493296,0.509857148,-2.316085124,-2.483832663,0.552620849,-2.607944819,-2.237710643,-0.657068881,-1.591460876,-2.96715478,0.111959881,-0.636199785,0.090090914,1.193050855,-0.462171006,-3.072166842,0.311011065,-0.637020191,-3.159129956,1.156440205,-0.389359908,-3.038530166,-0.099294853,-0.176874564,-2.998125134,1.149876951,0.803306381,-3.01094399,0.373567079,0.881757775,2.502774932,2.350369408,0.715235944,1.091957159,1.434518195,1.107616775,2.280809788,-0.565853671,0.80485414,-0.637768033,3.086828126,1.076871109,-0.421411887,0.364377324,0.205146078,-1.255329674,-0.337586716,0.522768483,-1.800342686,-0.711781868,0.434939451,-2.960491129,-1.617138171,0.477293912,-2.725440395,-2.397766869,0.887650234,-2.222646027,-2.619653459,0.93955787,-1.482080455,-2.354137434,1.060767961,-0.187909855,-0.920553702,0.835122626,1.618314737,-1.89346326,0.685505091,-3.649664782,-1.168606837,0.96781314,-3.663159037,-0.646645193,0.990567797,-3.205846479,-0.072507961,1.192232705,-1.561998224,0.852002043,0.980340915,-2.02206663,2.819159148,1.024908065
Cmsf009k,3.883864829,3.775900099,-0.427747638,3.291740704,-0.245480848,-0.038048037,1.150286578,-2.443845069,-0.140605809,0.229558979,-2.615273026,-0.408810828,0.519989832,-2.162384283,-2.217874117,-0.058180855,-2.377167567,-1.982160676,-0.854224516,-1.47756946,-3.163817574,-0.616418058,-1.343516783,-3.422354854,-1.973290276,-1.178168538,-2.31345517,-1.503159069,-2.20225125,-1.143758363,0.374176401,0.474018236,-0.730337916,-1.663125273,-1.976703885,-1.18591768,-0.434525022,-2.501851506,-0.801600119,-1.930931623,-2.015574177,-0.841865756,-0.464624582,-2.455306822,0.32404369,-1.170070561,-2.379958255,0.603212126,1.299787704,1.632552293,-3.872353242,-1.394720919,-0.334483852,-3.504480806,-2.022625647,-0.777505521,-3.263086321,-2.306677786,-1.010328608,-2.795347132,-3.36345141,-1.827501761,-1.604520832,-3.213152945,-2.25896201,-0.722663525,-3.753051344,-1.5759412,-0.773593575,-3.812552792,-2.214909012,0.230555653,-3.333949855,-2.025441252,0.334110099,-3.512952536,-1.819229366,0.333013758,-4.115442073,-2.484908045,0.058629358,-4.391919488,-2.719624812,0.794075229,-3.924180299,-3.037563873,0.812314367,-3.308634331,-3.063178399,0.612082526,-4.598928713,-2.127201685,0.865935437,-4.427799758,-1.523715474,0.808128335,-0.054293826,3.919620515,0.170057531,-2.777406997,2.412051163,-0.042832073,-3.158535201,1.688864384,-0.278246512,-2.670762861,1.949295345,-1.877709223,-2.998170326,1.406307256,-1.841031613,-2.437142435,0.680429457,-3.064748161,-2.368969922,0.810894106,-3.306939985,-2.357109499,-0.689698527,-2.295913705,-3.199697844,0.060099453,-1.03233019,-0.249442628,1.030760428,-0.777978942,-3.026874543,-0.221461001,-1.133392951,-3.233285763,1.044614199,-0.753859427,-3.198501835,-0.468735863,-0.770802888,-3.180063363,0.978335367,0.418229399,-3.29169087,0.268504022,0.637796719,2.659185095,2.828503392,0.996226047,1.521448837,1.862740572,1.227912247,2.513527743,-0.43702804,0.926883807,-0.525175747,3.385768141,0.974108631,-0.35963927,0.382840749,-0.141107873,-1.55344457,-0.545048404,0.346686164,-2.090222681,-0.96066555,0.263197599,-3.435816733,-1.968340293,0.388849169,-3.125970267,-2.828549738,0.944985633,-2.608060494,-2.984059214,1.032377532,-1.805082772,-2.575959214,1.130390271,-0.391741727,-1.224908969,1.036786918,1.907666856,-2.06495709,0.360992455,-4.151909583,-1.452954697,1.010107944,-4.201972826,-0.944529654,1.126863539,-3.580095385,-0.233060953,1.256109455,-1.903827568,0.675107337,1.116339358,-2.196757083,3.149417227,0.497269997
Cmsm001k,3.774545708,3.851963543,-1.690268804,3.513306847,-0.283379423,0.079394671,1.167692241,-2.546164606,0.343401102,0.006894215,-2.686618795,-0.070844856,0.420645964,-2.435857164,-1.523325014,-0.206307534,-2.236394425,-1.658935955,-1.148862879,-1.552013845,-2.642016436,-1.075423426,-1.532146644,-2.954356504,-2.11820435,-0.92851981,-1.586484921,-1.381338778,-1.912885234,-0.528383519,0.409081474,0.638517987,-0.885202394,-1.243553317,-1.989586466,-0.548250719,-0.746774462,-2.325352039,-0.2871107,-1.349808246,-2.04048999,-0.105340642,-0.42652705,-2.365284124,0.748355931,-1.072458172,-2.262389816,1.199469877,1.308541797,1.939374835,-3.983003051,-1.819504449,-0.314514588,-2.954059979,-2.474627858,-0.738842408,-2.459257959,-2.551724457,-0.77254746,-2.217194406,-3.475697545,-1.665681908,-0.974160008,-3.353034879,-2.329503394,-0.123626373,-4.023676449,-1.456137305,-0.129853407,-4.019722778,-2.223347308,0.972133752,-3.436753878,-1.944415766,0.930224831,-3.713016692,-1.705613992,0.972924486,-4.376146286,-2.526791615,0.803015443,-4.630268537,-2.748493758,1.395374312,-4.070626301,-3.167088754,1.246518571,-3.384664253,-3.111144299,1.120099917,-4.923532139,-2.047804282,1.205894594,-4.660019917,-1.374988192,1.130082938,0.036447911,4.640424532,0.303469017,-2.960336432,3.021593634,0.551660761,-3.458597915,1.993935505,0.19948745,-3.164049369,2.403041689,-1.497527306,-3.15970033,1.779547654,-1.383859243,-2.891246019,0.931583906,-2.545744529,-2.817312357,0.989307513,-2.886551033,-2.470476503,-0.414542483,-1.548925039,-3.20595829,0.699404532,-0.462060675,-0.162817145,1.423222988,-0.912285046,-3.122140449,0.52020436,-0.455833642,-3.36795999,1.280594279,-0.20111834,-3.130146634,0.46949852,0.055178431,-3.314980788,1.449712589,0.840575324,-3.392077387,0.605999037,1.195615047,3.274816425,3.312938519,-0.147061733,1.670783726,2.089335825,1.069433317,2.944219784,-0.147425352,0.944415389,-0.126455631,3.974465394,1.072000634,-0.407158546,0.589066865,0.167345186,-1.434656809,-0.192354572,0.823182658,-1.973863702,-0.560714403,0.791890809,-3.584563379,-1.864596174,1.009510776,-3.216749244,-2.727576265,1.518522885,-2.611454652,-2.804983622,1.429971411,-1.848269981,-2.394758944,1.68817919,-0.326127905,-1.023063271,1.481770541,1.962734017,-2.101323555,0.716908594,-4.352081076,-1.347482498,1.545258305,-4.210209595,-0.714058777,1.511612558,-3.633350107,-0.04967578,1.766401498,-1.993613379,1.046211129,1.555375059,-2.382015074,3.511272782,0.994961363
Cmsm002k,5.238191362,4.435973077,-1.172802365,4.894819058,0.390992913,0.306510425,2.263641852,-1.9914485,0.096778179,1.260031226,-2.212972517,-0.344153383,1.922587589,-1.592947153,-2.282538919,0.948708348,-1.739185255,-1.880006198,0.478650107,-0.839483301,-3.000728247,0.752581989,-0.690624806,-3.502432775,-0.961356784,-0.339391322,-2.382315433,-0.439495384,-1.530763205,-1.125534502,1.531745852,1.007490824,-0.855936347,-0.39242909,-1.615724418,-1.126038424,0.805997698,-2.113498357,-0.862890468,-0.946944621,-1.764784482,-0.625543307,0.538415231,-1.928861415,0.560184652,-0.265138447,-1.803183322,1.140803332,2.57748434,2.55170874,-3.932681195,-0.069919148,0.728217371,-3.605333604,-1.221279641,-0.057195123,-2.929372922,-1.270663976,-0.081383368,-2.880593293,-2.524018238,-1.018375534,-1.271571035,-2.360646796,-1.790282924,-0.24276432,-3.176596949,-0.715921679,-0.329942788,-2.993774126,-1.448825523,0.905169505,-2.558486488,-1.350056853,0.877957729,-2.765295989,-1.041757505,0.886725968,-3.497998264,-1.81910725,0.788158867,-3.734438365,-1.99235556,1.416347764,-3.25087502,-2.412626328,1.36837441,-2.489549988,-2.532458928,1.239269649,-3.998191027,-1.405589034,1.340557927,-3.777473285,-0.618563991,1.273838683,1.69038043,5.152751424,0.501326587,-1.714921421,3.702867665,0.251079029,-2.310960108,2.896895163,-0.229460785,-1.579467245,3.507849934,-2.078652165,-1.994598012,2.474407139,-1.752715555,-1.397249128,2.005457526,-2.828386996,-1.12271254,2.296018827,-3.383608018,-1.421739727,0.258763836,-2.377074646,-2.290400099,0.985620618,-1.004895627,0.960903255,2.020071258,-0.651545671,-2.332830313,1.177917171,-0.999150918,-2.400658186,2.37936749,-0.777929255,-2.682249679,0.650512632,-0.500873058,-2.338373453,1.976431631,0.598583492,-2.494992344,1.176203837,1.119437048,4.260495216,3.600337522,0.832037171,3.249115628,2.916210384,1.253658631,4.255140241,0.33582539,1.039080975,1.241605729,4.788110798,1.134670201,0.966915374,1.317518523,0.204376677,-0.462260505,0.250283407,0.688659672,-1.159592257,-0.122528773,0.708130514,-2.646692554,-1.223224779,0.915576276,-2.214625683,-2.234923854,1.582936142,-1.567874323,-2.244511369,1.59987376,-0.760855689,-1.872420865,1.716114406,0.504385584,-0.65806398,1.559698192,3.157660577,-1.537944493,0.737010171,-3.437562017,-0.553556931,1.627176544,-3.248010427,0.122328495,1.691624411,-2.623999142,0.697458791,1.802166407,-1.019736022,1.509634067,1.601190608,-0.930989037,4.317093091,0.897649773
Gbbf027k,7.217680433,10.17988483,-1.132082317,6.7422366,0.933126834,0.022664579,3.836779037,-4.365163814,-1.975819464,2.414838952,-5.190164259,-2.377389943,2.628652055,-3.632968601,-5.75438786,1.554121668,-3.487368806,-5.282749919,0.164580465,-1.956619223,-6.564457494,0.233379295,-1.892114221,-7.898569285,-1.402666654,-1.945201545,-3.948052607,-0.135889889,-4.189116878,-2.944565551,1.6154063,1.182266428,-2.327132642,-1.696403505,-3.157915116,-3.457677963,1.729290322,-5.081452348,-3.101095088,-2.370339283,-5.402513557,-1.775375779,0.869353733,-5.991158303,-0.061065061,-1.755150875,-5.68873621,1.530090871,3.50849639,5.769538241,-7.107431527,-0.734488508,0.992264552,-7.11123742,-2.460900013,-1.116200034,-7.540620192,-2.476025997,-1.126934603,-7.449864288,-4.471680018,-3.658438806,-2.955690468,-4.353111821,-6.330565867,-1.309788232,-7.053051175,-3.791059531,-1.44719072,-5.18543129,-4.501785606,-0.400375038,-5.269648865,-5.104873227,0.863571704,-5.848632499,-4.582294875,0.889822605,-5.942511187,-5.525473169,-0.804482779,-7.953486366,-7.893031223,0.515869245,-6.962783206,-8.65206286,0.655418646,-5.736992978,-8.741354959,1.025370939,-8.812739845,-6.975908656,0.57188418,-9.212065823,-5.598468241,0.943495452,-1.620188063,8.745941548,0.150698715,-6.889105026,4.32895904,-1.756053555,-7.411195442,3.057107751,-2.147474986,-5.836531712,3.470486256,-5.573363986,-5.431448101,2.442407278,-5.168182789,-3.850441216,1.479809172,-6.637257392,-3.8415608,1.637021819,-7.877002559,-3.340744348,-0.172728979,-3.967570005,-5.832823406,0.65637012,-3.006142944,-0.594255998,3.402760883,-1.96752457,-4.542528175,-0.640951375,-3.390050177,-7.356644312,2.172969588,-2.623699515,-6.605126874,-1.982089429,-1.857739202,-7.712739252,1.146061654,0.120837095,-7.173473525,-1.577493753,1.653831179,4.353381551,6.730098144,3.025295953,2.224689524,4.298813734,2.607432544,5.860860052,-0.114138138,1.490756286,-2.637587023,7.484373684,1.808057761,0.039779575,1.824067493,0.425493267,-1.835149179,-0.342238085,2.098640113,-3.874927354,-2.889186981,1.394449829,-6.021758364,-5.436037324,0.877882183,-5.590478891,-7.915631785,1.751267888,-4.388276416,-8.323738446,1.84244693,-2.762781767,-6.690492463,2.704740049,-0.504889215,-2.716131866,3.660256949,4.930019096,-3.303941951,-0.832362027,-8.738258133,-5.373383254,1.807499661,-9.16233959,-4.219713816,1.789381465,-7.897852118,-2.428899774,2.73443216,-4.239931694,0.529512258,3.790655618,-5.794100496,5.894469012,-0.54217906
Gbbm001k,8.924193599,10.26124254,0.056789673,8.701672815,0.345203253,0.605345345,3.004351298,-5.649832325,-0.79293382,2.056541038,-5.89948979,-0.883619674,2.835610482,-3.743061096,-4.378034763,1.167543367,-3.923643373,-4.233272904,-0.642127883,-2.388397978,-5.91485902,-0.324875412,-1.950263928,-6.741195627,-2.104252258,-1.427956827,-3.471768295,-0.715446261,-4.4131891,-1.886394048,1.663404539,1.865350786,-0.936215496,-1.928209207,-3.236345252,-2.146708829,0.889367717,-5.875806869,-1.500954499,-3.216264108,-4.949804632,-0.862798439,-0.464802007,-6.173422251,1.377309912,-2.795398854,-5.486124129,3.154910539,3.241772588,5.31328814,-7.266068378,-1.108484081,1.217721558,-5.463403326,-3.19564023,-0.614349789,-5.906668676,-3.15903038,-0.669708619,-5.791115754,-6.210772192,-3.46281319,-2.107730687,-5.735534897,-5.751668888,-1.141270126,-8.332071219,-3.102142029,-1.39536814,-6.862940646,-4.31529969,0.836944583,-6.673477273,-5.043253494,1.588285272,-7.932224559,-4.098600957,1.868730536,-7.741675718,-5.192850616,-0.311874474,-10.78601662,-8.375440569,1.038940169,-9.548189245,-9.180659905,1.077720953,-8.294770617,-9.539160131,1.193767269,-11.47745925,-6.990581726,0.829148955,-11.93019777,-5.953072401,0.984962843,-0.771989236,10.5165247,0.690209148,-7.568987748,5.99565232,-0.612351543,-8.509002379,4.538856603,-0.703728149,-6.214719345,5.377824102,-4.607265708,-6.280932847,3.866261628,-4.123147319,-4.878903886,2.452095169,-5.445641135,-4.778646184,2.674714633,-6.780173769,-3.887674936,0.797547056,-3.336380926,-7.050233085,1.700655801,-1.963462222,-1.012173533,4.241241221,-1.481514767,-6.158669764,0.936684221,-2.096185262,-8.597319941,3.261459016,-1.259586055,-7.97041327,-0.646815128,-0.788887988,-8.992824733,2.072675029,1.103574809,-8.09889312,-0.519618103,2.731380957,6.808506536,8.132677301,3.18855874,4.837362956,6.10605618,2.767725064,7.582067431,0.189896307,2.452671059,-0.903574559,9.018909892,2.451281365,0.121945979,2.796657404,2.352838071,-1.879034482,0.566473066,3.96468262,-4.599539451,-2.256043602,3.422375687,-7.884453441,-5.326936411,1.542762552,-7.778247774,-8.468499452,2.202339913,-6.252203193,-8.764677182,3.05884876,-4.753418741,-7.359279621,4.201051697,-2.088731951,-4.260594805,5.665700968,5.219860001,-3.814826565,0.698594333,-11.15107307,-5.83042299,2.347519972,-11.51534502,-3.925388015,3.035010617,-9.937204916,-2.55411192,3.893619744,-6.578988337,0.466848172,5.51634028,-5.956089703,7.609974794,0.912544051
Gbbm026k,10.59772492,13.59111618,-6.817901231,8.044838363,2.215624336,-0.680369802,4.537824046,-5.523127092,-2.248978813,2.425288374,-6.6992762,-2.672716551,3.033103856,-4.871932844,-6.252746664,1.157972072,-5.407552932,-5.859158707,-0.803917246,-3.93585393,-7.541598524,-0.417610359,-3.38844056,-8.884186729,-2.362783982,-2.575729628,-4.803198522,-0.96543393,-5.811190815,-3.88650161,1.724049592,1.552944457,-2.624312821,-2.467795463,-4.268321923,-4.056119766,1.418859972,-6.903248698,-3.676683747,-2.681202586,-6.02531579,-2.6350806,0.109703157,-6.840180278,0.204126323,-2.695251974,-6.429671526,1.463751355,3.980053099,6.120636271,-11.00831058,-1.403631256,0.390947287,-8.08767874,-3.936110306,-2.032110619,-8.241709254,-3.888219327,-2.016625527,-7.723112511,-6.141248877,-4.351695297,-3.417641751,-5.372737113,-6.84458994,-2.498586184,-8.450065776,-4.190896465,-2.279026044,-6.818798546,-5.427755336,0.104344905,-5.901178682,-6.363218948,1.23475659,-7.812715815,-4.666627192,1.206965466,-7.800307231,-6.717325048,-1.036732009,-10.6365402,-10.24249076,0.805173487,-9.071622995,-10.92332204,0.521621976,-7.620741699,-11.34582918,1.011914842,-11.70131971,-8.861548756,0.702930862,-12.20545686,-6.94888357,0.78025377,-0.958357961,11.70439621,-1.148511809,-8.58932905,5.434062178,-2.149812697,-9.097875865,3.761672288,-2.709019349,-7.283658944,4.523620833,-6.234902916,-7.173622499,2.893276556,-6.197677166,-5.71781879,1.798860017,-7.443970662,-5.443496803,2.024778274,-8.867265933,-4.595508576,-0.174309831,-4.542208071,-7.748314242,0.659423908,-3.714832449,-0.838681789,3.969439145,-2.751987914,-6.364090625,-0.735977689,-3.989051886,-9.282979112,2.45907869,-2.962215979,-8.059964528,-1.561712506,-2.473051165,-9.046600727,1.249805843,0.487780385,-8.631784864,-2.013651569,1.642599035,6.904103249,9.353443868,1.066728785,4.733206625,6.974851351,1.54167531,7.79896936,1.439510213,1.918454866,-1.828496944,10.36841635,1.502150075,0.695359832,2.973961062,1.067924726,-1.899831019,0.142367625,2.950734757,-4.438348639,-2.71713969,2.649375083,-8.021116946,-6.733770011,0.663981622,-7.081381807,-10.71387336,1.650280871,-5.58982774,-10.47481226,1.994497947,-4.163542512,-7.882324583,2.919590034,-0.994462775,-4.023800123,4.652087922,6.34687551,-4.018729833,-0.214617257,-11.6402746,-6.785817352,1.789082772,-11.80795353,-4.8843162,2.120029841,-9.663278707,-2.972776196,3.297921073,-5.948393649,0.448873241,4.858392105,-7.025411405,8.006015802,-0.352671771
Gggf015k,7.270172581,8.460217209,-4.591887598,6.643634973,-0.409485285,-1.685396214,2.358760851,-5.132985976,-1.70840778,0.815177179,-5.62929219,-1.858736611,1.137439586,-4.507754701,-5.856116892,0.05830769,-4.550160294,-5.104573224,-1.822410493,-3.037124726,-6.542243401,-1.832861161,-3.048278804,-7.436478874,-2.651932218,-1.553933853,-4.221692803,-1.770559105,-3.980699408,-2.546973352,0.950432932,0.638093635,-2.98278628,-2.449450537,-3.222523585,-2.702828978,-0.445736038,-5.456655203,-2.125429604,-3.008561243,-4.494389905,-0.605962857,-0.453473551,-5.48428918,0.500803016,-2.406944457,-4.740683999,2.150099209,2.405085444,4.033555668,-8.795869534,-2.282943269,-0.098477443,-6.508982143,-3.999565877,-1.519768209,-6.353327491,-3.999766851,-1.50509708,-6.690662976,-5.692172047,-3.108571116,-1.72127014,-5.235759246,-4.982154709,-0.352433685,-7.469287941,-2.66301093,-0.285408732,-6.380911223,-3.984618408,0.988768794,-6.260728548,-4.087517287,1.794475055,-6.581182186,-3.734606288,1.788345337,-6.597963546,-4.081086107,0.782368113,-8.274994203,-5.83609482,2.182757544,-7.332323906,-6.801776682,2.208582751,-6.114117743,-6.782985579,2.39579038,-9.241479963,-4.877748522,2.31540063,-9.213142576,-3.553930326,2.469146026,-1.508890471,8.900250599,-1.651130084,-6.80677592,4.936634013,-1.970176901,-7.417738014,3.586789636,-1.815728095,-6.417990995,3.694913849,-5.518479945,-6.330064707,2.72661932,-5.344938574,-5.394127052,1.056823741,-6.751055775,-5.19275073,1.097119103,-7.677447148,-3.912041537,-0.031653464,-4.361169018,-6.262034882,0.967591119,-2.712073799,-1.06604344,3.388226956,-2.81989655,-5.70634074,0.325477997,-2.764427623,-7.515411559,2.41942999,-2.450706627,-6.726084709,-0.463547392,-0.881699696,-7.545155767,2.303668751,0.211801867,-6.989461625,0.051750901,1.890540806,5.538314307,6.949992871,-0.308982664,3.462073281,5.108652802,1.014575813,5.920994936,-0.201065545,0.39980024,-1.886178657,8.167107441,0.324898578,0.333790981,2.339287038,-0.022678104,-1.983912796,0.361465383,1.739079786,-4.11917065,-1.605147147,1.775413741,-6.729916688,-4.20861319,1.949809354,-5.47996401,-6.067895949,3.107378232,-4.537017173,-6.488371618,2.959069194,-2.999589446,-5.093540132,3.563025723,-0.473157062,-2.157692121,3.561888309,3.806321079,-4.240762558,-0.737038624,-8.49047782,-3.046243938,3.028590952,-8.960583809,-2.102541437,3.024692351,-7.523291765,-0.581229765,3.64374497,-4.344485231,1.974160414,3.508803139,-6.059223703,6.351419239,-0.933910015
Gggf028k,8.057421265,8.328214344,-3.732242485,6.91230586,0.042812168,-1.17231948,2.444574793,-4.613390295,-1.308633423,1.694897035,-4.838166409,-1.676279858,1.536858975,-4.123912662,-4.605219287,0.324026951,-4.003255741,-4.248434911,-1.121605409,-2.653229067,-5.572138217,-0.872463056,-2.482861103,-6.636717819,-2.365947188,-1.284609681,-3.596124255,-1.447565024,-3.580124736,-2.062519005,1.783359206,1.118449541,-1.611890357,-2.224936139,-2.786607319,-2.273497369,0.13408771,-5.243291839,-1.261270933,-2.744455681,-3.773488951,-0.87923961,-0.49483527,-5.394284239,0.897049472,-2.665583436,-4.296335611,2.365971652,2.037687948,3.716830105,-7.542280796,-1.641418521,0.324932123,-5.741331905,-3.374357225,-0.857466565,-5.240111506,-3.244208234,-0.589731498,-6.108684771,-4.981061194,-2.150932248,-1.205492794,-4.89240331,-4.263651579,-0.36803786,-6.851585974,-1.625052041,-0.323806775,-5.898954076,-3.186742073,1.716792401,-5.583073668,-3.444495788,2.311563503,-6.042215822,-2.788368734,2.399438535,-6.538739114,-3.508689576,1.11468207,-8.12088113,-5.010002219,2.252947529,-7.318752351,-5.785024781,2.196190826,-6.396553788,-5.917718037,2.227015587,-8.801667994,-3.90070225,2.253632523,-8.77417035,-2.840721899,2.279858034,-0.003498366,8.543009107,-0.546527905,-5.643157488,5.395164947,-0.897147328,-6.089284742,4.782975408,-1.185823661,-5.292831633,4.875938973,-4.07689267,-5.527491242,3.574253353,-3.916114631,-4.690623446,2.075093551,-5.311350954,-4.523386886,2.097894088,-6.424467322,-3.485424221,0.550197519,-3.409512131,-5.561349551,1.751678202,-1.814257359,-0.29266398,3.414160309,-1.44132668,-5.021769449,0.837406006,-2.078958878,-6.699615009,2.85314966,-1.028177027,-6.020100279,0.221497925,-0.736271433,-7.019703241,2.776332398,1.15959815,-6.515057869,0.205547335,2.550430936,6.34093995,6.856400704,0.555551056,4.403185877,5.026715405,1.368520062,6.192495143,0.095480824,0.693106786,-0.073573097,7.908812059,1.030230445,1.393613179,2.731628079,0.697706819,-1.336003854,0.644026154,2.681536668,-3.951029984,-1.578177854,2.720827083,-6.291439592,-3.495478573,2.472917328,-5.846275146,-5.362743365,2.765208182,-5.014934377,-6.012071456,2.872698625,-3.346451031,-4.927566827,3.561338855,-0.804641829,-1.850441127,4.115451804,3.98426759,-3.780272454,-0.095642618,-8.123217843,-2.486304865,3.004314581,-8.555458005,-1.494762822,3.025790045,-7.014981084,-0.161277449,3.907846843,-3.357343523,1.592458036,4.379295122,-4.502898205,6.578096169,0.480775274
Gggf047k,7.806519965,7.895355413,-4.613052406,6.209977148,-0.308263331,-0.978361153,1.929376572,-4.844803694,-1.3943015,0.591217853,-5.16735097,-1.843647437,1.63931827,-3.60238051,-5.419573366,0.380395983,-3.931344104,-4.909832565,-1.234377325,-2.39438138,-6.759056088,-1.068571526,-2.293859068,-7.448861172,-2.855465105,-1.277331008,-4.722842733,-1.812049618,-3.796703277,-2.810372649,0.77586522,0.46536127,-2.677055824,-2.414572411,-3.070437212,-2.923218365,-0.52746206,-5.335091849,-1.771132861,-3.670337463,-4.002025446,-1.511322914,-0.957966429,-5.303621338,0.842447248,-2.693529465,-4.122509635,2.034150967,2.93378492,4.236730276,-7.858690739,-1.785773269,0.543070008,-6.335273575,-3.977302253,-1.062435286,-6.188920422,-3.747842507,-0.969144062,-7.118573576,-5.856468592,-2.434406981,-1.734570035,-5.907697288,-4.934530296,0.155595706,-7.872108991,-1.968358248,0.096321151,-6.697515452,-3.35866228,1.286089791,-6.634370738,-3.558586595,1.722195708,-6.921169958,-3.249788571,1.752953294,-7.225283051,-3.712680068,0.84570633,-8.471678242,-4.799278391,2.154635157,-7.655685574,-5.728320467,1.9379062,-6.472842484,-5.893718881,2.077944882,-9.080006275,-3.853126135,1.93902651,-8.998936609,-2.720289584,2.210243244,-0.45229948,8.395624507,-0.653573258,-5.899855121,5.42059183,-1.100373038,-6.609927622,4.316781479,-1.515396767,-5.244270399,4.959737259,-5.367122515,-5.653590734,3.792476655,-5.153652641,-4.811830949,2.267226257,-6.514115703,-4.587667212,2.373655655,-7.326849288,-3.933915723,0.09178899,-4.750952315,-6.195514971,1.746995285,-2.617679423,-1.186611404,3.326326076,-2.542007612,-5.642693179,0.968176522,-2.757310719,-7.205015635,2.91588543,-1.35172974,-6.625815647,0.201375624,-1.099150882,-7.019859036,2.838380385,1.205223818,-6.602696534,0.54907894,2.243445142,5.630662074,6.351639871,1.210533575,3.408345458,4.664898087,1.679897507,5.570517955,-0.555614001,0.447346164,-0.854474788,7.574682516,0.768735387,0.233488215,2.154629555,0.268145294,-1.943669072,0.439674784,1.973284555,-4.329947457,-1.501855892,1.922444199,-7.019740181,-3.645065013,1.819195257,-6.048313642,-5.207347138,2.75422722,-4.895474475,-5.786216634,2.494283855,-3.173658553,-4.492603557,3.19188283,-0.627643777,-2.138096436,3.848138822,3.296212972,-4.156729691,0.021054799,-8.237448219,-2.334020023,2.782782788,-8.591787738,-1.170196732,2.790327767,-7.077098294,0.003103895,3.505133168,-4.112234768,2.011990228,3.898673843,-4.835914038,6.79467704,0.395125964
