id,student_id,subject,year,semester,grade
1,1,Math,2023,Spring,88
2,1,Science,2023,Spring,91
3,1,History,2023,Spring,84
4,2,Math,2023,Spring,76
5,2,Science,2023,Spring,82
6,2,History,2023,Spring,79
7,3,Math,2023,Spring,93
8,3,Science,2023,Spring,89
9,3,History,2023,Spring,95
10,4,Math,2023,Spring,71
11,4,Science,2023,Spring,78
12,4,History,2023,Spring,74
13,5,Math,2023,Spring,86
14,5,Science,2023,Spring,90
15,5,History,2023,Spring,83
16,6,Math,2023,Spring,80
17,6,Science,2023,Spring,77
18,6,History,2023,Spring,82
19,7,Math,2023,Spring,92
20,7,Science,2023,Spring,88
21,7,History,2023,Spring,90
22,8,Math,2023,Spring,79
23,8,Science,2023,Spring,81
24,8,History,2023,Spring,76
25,9,Math,2023,Spring,84
26,9,Science,2023,Spring,80
27,9,History,2023,Spring,85
28,10,Math,2023,Spring,73
29,10,Science,2023,Spring,75
30,10,History,2023,Spring,78
31,11,Math,2023,Spring,90
32,11,Science,2023,Spring,92
33,11,History,2023,Spring,87
34,12,Math,2023,Spring,77
35,12,Science,2023,Spring,74
36,12,History,2023,Spring,79
37,13,Math,2023,Spring,85
38,13,Science,2023,Spring,83
39,13,History,2023,Spring,88
40,14,Math,2023,Spring,81
41,14,Science,2023,Spring,86
42,14,History,2023,Spring,80
43,15,Math,2023,Spring,89
44,15,Science,2023,Spring,84
45,15,History,2023,Spring,91
46,16,Math,2023,Spring,72
47,16,Science,2023,Spring,70
48,16,History,2023,Spring,75
49,17,Math,2023,Spring,88
50,17,Science,2023,Spring,87
51,17,History,2023,Spring,85
52,18,Math,2023,Spring,76
53,18,Science,2023,Spring,79
54,18,History,2023,Spring,73
55,19,Math,2023,Spring,91
56,19,Science,2023,Spring,90
57,19,History,2023,Spring,92
58,20,Math,2023,Spring,82
59,20,Science,2023,Spring,85
60,20,History,2023,Spring,81
61,1,Math,2024,Fall,90
62,1,Science,2024,Fall,88
63,1,History,2024,Fall,86
64,2,Math,2024,Fall,78
65,2,Science,2024,Fall,84
66,2,History,2024,Fall,81
67,3,Math,2024,Fall,95
68,3,Science,2024,Fall,92
69,3,History,2024,Fall,94
70,4,Math,2024,Fall,74
71,4,Science,2024,Fall,80
72,4,History,2024,Fall,77
73,5,Math,2024,Fall,87
74,5,Science,2024,Fall,91
75,5,History,2024,Fall,85
76,6,Math,2024,Fall,82
77,6,Science,2024,Fall,79
78,6,History,2024,Fall,84
79,7,Math,2024,Fall,93
80,7,Science,2024,Fall,90
81,7,History,2024,Fall,92
82,8,Math,2024,Fall,80
83,8,Science,2024,Fall,83
84,8,History,2024,Fall,78
85,9,Math,2024,Fall,86
86,9,Science,2024,Fall,82
87,9,History,2024,Fall,87
88,10,Math,2024,Fall,75
89,10,Science,2024,Fall,77
90,10,History,2024,Fall,80
91,11,Math,2024,Fall,92
92,11,Science,2024,Fall,94
93,11,History,2024,Fall,90
94,12,Math,2024,Fall,79
95,12,Science,2024,Fall,76
96,12,History,2024,Fall,81
97,13,Math,2024,Fall,87
98,13,Science,2024,Fall,85
99,13,History,2024,Fall,89
100,14,Math,2024,Fall,83
101,14,Science,2024,Fall,88
102,14,History,2024,Fall,82
103,15,Math,2024,Fall,91
104,15,Science,2024,Fall,86
105,15,History,2024,Fall,93
106,16,Math,2024,Fall,74
107,16,Science,2024,Fall,72
108,16,History,2024,Fall,77
109,17,Math,2024,Fall,90
110,17,Science,2024,Fall,89
111,17,History,2024,Fall,87
112,18,Math,2024,Fall,78
113,18,Science,2024,Fall,81
114,18,History,2024,Fall,76
115,19,Math,2024,Fall,93
116,19,Science,2024,Fall,92
117,19,History,2024,Fall,94
118,20,Math,2024,Fall,84
119,20,Science,2024,Fall,87
120,20,History,2024,Fall,83
